,artist_id,venue_id,event_id
127,389,1719,1
128,389,5263,1
129,400,3918,1
130,400,5520,1
131,418,5503,1
132,436,835,2
133,438,502,1
134,453,129,1
135,453,4088,1
136,453,5038,1
137,453,5555,1
138,462,1459,1
139,464,5164,1
140,491,820,1
141,491,2145,1
142,491,2699,1
143,491,3331,1
144,491,3393,1
145,491,4716,1
146,495,3787,1
147,499,4943,1
148,519,595,1
149,519,4276,1
150,519,4462,1
151,528,117,1
152,528,1744,1
153,528,2898,1
154,528,3415,1
155,528,4786,2
156,547,72,1
157,547,2832,1
158,553,1720,1
159,553,3918,1
160,557,5555,1
161,557,5689,1
162,557,5709,1
163,565,459,1
164,565,3887,1
165,572,1721,1
166,572,3918,1
167,594,822,1
168,594,969,1
169,594,1676,1
170,594,4122,1
171,594,5193,1
172,610,38,1
173,610,576,1
174,610,1141,1
175,620,999,1
176,629,3695,2
177,629,3918,1
178,658,3133,1
179,680,1721,1
180,680,2200,1
181,703,1776,1
182,703,2305,1
183,703,3355,1
184,710,474,1
185,710,574,1
186,710,1252,1
187,710,4710,1
188,710,5301,1
189,711,999,1
190,711,1810,1
191,711,2545,1
192,711,2804,1
193,711,4080,1
194,711,4984,1
195,758,4517,1
196,782,326,1
197,782,819,1
198,782,1252,1
199,782,3768,1
200,788,276,1
201,788,1074,1
202,788,2097,1
203,789,1227,1
204,789,1346,1
205,789,3172,1
206,789,3887,1
207,789,5017,1
208,792,1534,1
209,810,2334,1
210,821,1744,1
211,821,2898,1
212,821,3225,1
213,821,4786,2
214,821,5417,1
215,845,5536,1
216,855,2615,1
217,855,3414,1
218,855,4944,1
219,855,5198,1
220,863,937,1
221,863,1810,1
222,863,2231,1
223,863,3393,1
224,897,939,1
225,897,3127,1
226,897,3964,1
227,898,2827,1
228,898,2828,1
229,898,2829,1
230,898,4268,1
231,908,150,1
232,908,2006,1
233,908,2332,1
234,908,3834,1
235,908,4500,1
236,908,5425,1
237,927,822,1
238,927,1186,1
239,927,2296,1
240,927,2963,1
241,927,3332,1
242,927,4359,1
243,927,5402,1
244,931,459,1
245,931,1227,1
246,931,3887,1
247,962,1265,1
248,962,5307,1
249,995,601,1
250,995,5265,1
251,1001,1273,1
252,1040,1560,5
253,1040,1930,1
254,1080,596,1
255,1080,659,1
256,1080,917,1
257,1080,1810,1
258,1080,3710,1
259,1082,1116,1
260,1082,2594,1
261,1082,4925,1
262,1082,5261,1
263,1083,2231,1
264,1083,2615,1
265,1083,2684,1
266,1083,2963,1
267,1089,3918,1
268,1089,4399,1
269,1098,503,1
270,1098,1930,1
271,1098,3230,1
272,1103,1720,1
273,1103,1875,1
274,1103,3127,1
275,1103,3173,1
276,1103,4967,1
277,1103,5032,1
278,1105,496,1
279,1105,1887,1
280,1105,4729,1
281,1105,5150,1
282,1117,3008,1
283,1135,305,1
284,1135,3918,1
285,1172,1723,1
286,1172,2200,1
287,1172,2334,1
288,1181,1622,1
289,1181,3024,1
290,1181,3746,1
291,1187,659,1
292,1187,741,1
293,1187,1591,1
294,1187,1622,1
295,1187,1810,1
296,1187,3237,1
297,1241,1531,1
298,1241,1762,1
299,1241,2397,1
300,1241,5508,1
301,1241,5509,1
302,1241,5510,1
303,1253,1024,1
304,1253,2010,1
305,1253,5555,1
306,1271,474,1
307,1271,707,1
308,1271,1615,1
309,1271,2579,1
310,1271,4196,1
311,1271,4610,1
312,1274,129,1
313,1274,1346,1
314,1274,4254,1
315,1274,4462,1
316,1280,3306,1
317,1280,4542,1
318,1362,1676,1
319,1368,458,1
320,1368,911,1
321,1368,1074,1
322,1368,2963,1
323,1368,3183,1
324,1368,5362,1
325,1406,101,1
326,1406,659,1
327,1406,1321,1
328,1406,1538,1
329,1406,1930,1
330,1406,4080,1
331,1406,4199,1
332,1450,4409,1
333,1450,4548,1
334,1450,4706,1
335,1457,367,1
336,1461,863,1
337,1461,4796,1
338,1488,3225,3
339,1488,4399,3
340,1488,4786,3
341,1534,3695,2
342,1547,186,1
343,1547,835,1
344,1547,1230,1
345,1547,1252,3
346,1547,1622,1
347,1547,1658,1
348,1547,1798,1
349,1547,1875,1
350,1547,1986,1
351,1547,2849,1
352,1547,3023,1
353,1547,3173,1
354,1547,4254,1
355,1547,4967,1
356,1551,129,1
357,1551,2799,1
358,1551,3834,1
359,1551,4920,1
360,1551,5166,1
